date,value
26-1-2022,3684.959
27-1-2022,3454.055
28-1-2022,3596.992
29-1-2022,3813.352
30-1-2022,3767.816
31-1-2022,3525.639
1-2-2022,3617.143
2-2-2022,3573.09
3-2-2022,3473.725
4-2-2022,3444.572
5-2-2022,3384.003
6-2-2022,3284.682
7-2-2022,3515.872
8-2-2022,3557.083
9-2-2022,3700.862
10-2-2022,3645.182
11-2-2022,3484.815
12-2-2022,3634.487
13-2-2022,3019.48
14-2-2022,2997.176
15-2-2022,3254.571
16-2-2022,3223.468
17-2-2022,3285.386
18-2-2022,3408.131
19-2-2022,3407.987
20-2-2022,3228.123
21-2-2022,3089.971
22-2-2022,3466.39
23-2-2022,3452.96
24-2-2022,3516.93
25-2-2022,3357.364
26-2-2022,3245.733
27-2-2022,3343.388
28-2-2022,3488.848
1-3-2022,3391.207
2-3-2022,3525.263
3-3-2022,3673.034
